,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,return_Open,return_High,return_Low,return_Close,return_Volume
185,1.72,1.96,-0.24,12,6,2.0,35,0.02683512239127883,0.03276960767266135,0.1035478200489206,0.07686763269000574,-0.4127114594923301
186,1.31,1.29,0.02,16,9,1.78,67,0.006353622377622381,0.020577306348839253,0.00792662091143681,0.009961006260395866,-0.13755838629109796
187,1.93,1.65,0.28,14,5,2.8,38,0.029383768171468372,0.012466781716363728,0.032734544090262885,0.021713726194555916,-0.2291502435838657
188,1.45,1.96,-0.51,9,4,2.25,34,0.01535253035524975,0.007106757116254192,-0.008890595490311348,-0.014231721764679461,-0.08354050156820292
189,1.62,2.38,-0.76,17,4,4.25,37,-0.030620785825417052,-0.0321509734635812,-0.026911068957617856,-0.01757247564136366,0.2662116040955631
190,1.59,1.88,-0.29,15,3,5.0,33,-0.0018027277779821826,-0.0011697052720990309,-0.00717436876623001,0.0015759515485906928,0.004572254527084985
191,1.52,1.28,0.24,4,1,4.0,14,0.008951727346844462,0.009251378406854194,0.010294275813514497,-0.007316434756897805,0.026012971615872793
192,1.75,2.11,-0.36,24,18,1.33,82,-0.029107365199339874,-0.021775319633043577,-0.02161743082311096,-0.0159296871164335,0.3105341861995936
193,1.61,1.9,-0.29,21,13,1.62,63,-0.030541042206577274,-0.035861189876027044,-0.0352869455251934,-0.04260286806642999,0.25073772080440904
194,1.57,1.67,-0.1,12,9,1.33,39,-0.037456683739415575,0.0026655978784071443,-0.020574950081918897,0.019178987375328083,-0.046007717423567795
195,1.85,1.52,0.33,13,11,1.18,40,0.06210812159399426,0.02617590700105965,0.0644478385612055,0.018322858657713548,-0.38373705113657164
196,1.6,1.89,-0.29,16,2,8.0,32,-0.03206893426131496,-0.016500637770030524,-0.03695278567367821,-0.006240825371409686,0.3894888462380879
197,1.86,1.66,0.2,15,7,2.14,41,0.0448298322901135,0.021762041009006916,0.027787159746542,-0.004526592392220308,-0.18831220878040444
198,1.59,1.72,-0.13,15,8,1.88,46,0.002079258537463602,0.006980565858111243,0.02198970576452486,0.03785178936878597,-0.21674100162933463
199,2.08,2.39,-0.31,5,3,1.67,36,0.035075838968599005,0.021702343534601543,0.01702055711524819,0.013933357455957696,0.22412778725657478
200,1.79,1.61,0.18,24,12,2.0,58,0.0011565827607584733,0.025211980718212068,0.022143320217669515,0.015376809704864103,0.07461610554394049
201,1.72,1.95,-0.23,10,4,2.5,32,0.018676082734397692,-0.00428667751051659,0.005290357543324298,0.01196177956567368,-0.21441030457533883
202,1.73,1.73,0.0,18,11,1.64,41,0.0024193317066503184,0.0028323565275569784,0.0003072869133446954,-0.003144550175666949,-0.055829368468138796
203,1.6,1.59,0.01,8,4,2.0,36,-0.02628407814426259,-0.013745015745716183,-0.022195761469042674,-0.0272118359384248,0.16643050034240536
204,1.65,1.91,-0.26,18,14,1.29,106,0.0003098369616165719,-0.010500293363861268,-0.016023191078068932,-0.01961246977906861,0.16963847236017626
205,1.51,2.04,-0.53,26,15,1.73,80,-0.01955165147181437,-0.020644423025617198,-0.019557002125954903,-0.006415876202823245,0.1283380423973608
